"state","season","week","year","deaths"
"Florida","2013-14",40,2013,3307
"Florida","2013-14",41,2013,3354
"Florida","2013-14",42,2013,3386
"Florida","2013-14",43,2013,3283
"Florida","2013-14",44,2013,3398
"Florida","2013-14",45,2013,3427
"Florida","2013-14",46,2013,3435
"Florida","2013-14",47,2013,3369
"Florida","2013-14",48,2013,3364
"Florida","2013-14",49,2013,3481
"Florida","2013-14",50,2013,3429
"Florida","2013-14",51,2013,3644
"Florida","2013-14",52,2013,3548
"Florida","2013-14",1,2014,3552
"Florida","2013-14",2,2014,3799
"Florida","2013-14",3,2014,3699
"Florida","2013-14",4,2014,3765
"Florida","2013-14",5,2014,3745
"Florida","2013-14",6,2014,3820
"Florida","2013-14",7,2014,3647
"Florida","2013-14",8,2014,3692
"Florida","2013-14",9,2014,3555
"Florida","2013-14",10,2014,3696
"Florida","2013-14",11,2014,3483
"Florida","2013-14",12,2014,3699
"Florida","2013-14",13,2014,3513
"Florida","2013-14",14,2014,3568
"Florida","2013-14",15,2014,3434
"Florida","2013-14",16,2014,3542
"Florida","2013-14",17,2014,3546
"Florida","2013-14",18,2014,3526
"Florida","2013-14",19,2014,3540
"Florida","2013-14",20,2014,3435
"Florida","2013-14",21,2014,3582
"Florida","2013-14",22,2014,3457
"Florida","2013-14",23,2014,3479
"Florida","2013-14",24,2014,3560
"Florida","2013-14",25,2014,3468
"Florida","2013-14",26,2014,3500
"Florida","2013-14",27,2014,3403
"Florida","2013-14",28,2014,3417
"Florida","2013-14",29,2014,3533
"Florida","2013-14",30,2014,3460
"Florida","2013-14",31,2014,3426
"Florida","2013-14",32,2014,3396
"Florida","2013-14",33,2014,3468
"Florida","2013-14",34,2014,3390
"Florida","2013-14",35,2014,3366
"Florida","2013-14",36,2014,3347
"Florida","2013-14",37,2014,3409
"Florida","2013-14",38,2014,3374
"Florida","2013-14",39,2014,3379
"Florida","2014-15",40,2014,3330
"Florida","2014-15",41,2014,3481
"Florida","2014-15",42,2014,3468
"Florida","2014-15",43,2014,3425
"Florida","2014-15",44,2014,3494
"Florida","2014-15",45,2014,3639
"Florida","2014-15",46,2014,3629
"Florida","2014-15",47,2014,3649
"Florida","2014-15",48,2014,3705
"Florida","2014-15",49,2014,3791
"Florida","2014-15",50,2014,3815
"Florida","2014-15",51,2014,3940
"Florida","2014-15",52,2014,3958
"Florida","2014-15",53,2014,4060
"Florida","2014-15",1,2015,4011
"Florida","2014-15",2,2015,3999
"Florida","2014-15",3,2015,3971
"Florida","2014-15",4,2015,3904
"Florida","2014-15",5,2015,4014
"Florida","2014-15",6,2015,3936
"Florida","2014-15",7,2015,4018
"Florida","2014-15",8,2015,4089
"Florida","2014-15",9,2015,3862
"Florida","2014-15",10,2015,3835
"Florida","2014-15",11,2015,3872
"Florida","2014-15",12,2015,3751
"Florida","2014-15",13,2015,3853
"Florida","2014-15",14,2015,3610
"Florida","2014-15",15,2015,3716
"Florida","2014-15",16,2015,3634
"Florida","2014-15",17,2015,3557
"Florida","2014-15",18,2015,3767
"Florida","2014-15",19,2015,3777
"Florida","2014-15",20,2015,3552
"Florida","2014-15",21,2015,3603
"Florida","2014-15",22,2015,3504
"Florida","2014-15",23,2015,3574
"Florida","2014-15",24,2015,3607
"Florida","2014-15",25,2015,3563
"Florida","2014-15",26,2015,3493
"Florida","2014-15",27,2015,3649
"Florida","2014-15",28,2015,3515
"Florida","2014-15",29,2015,3549
"Florida","2014-15",30,2015,3478
"Florida","2014-15",31,2015,3574
"Florida","2014-15",32,2015,3515
"Florida","2014-15",33,2015,3534
"Florida","2014-15",34,2015,3446
"Florida","2014-15",35,2015,3514
"Florida","2014-15",36,2015,3509
"Florida","2014-15",37,2015,3542
"Florida","2014-15",38,2015,3671
"Florida","2014-15",39,2015,3496
"Florida","2015-16",40,2015,3602
"Florida","2015-16",41,2015,3520
"Florida","2015-16",42,2015,3604
"Florida","2015-16",43,2015,3507
"Florida","2015-16",44,2015,3603
"Florida","2015-16",45,2015,3417
"Florida","2015-16",46,2015,3196
"Florida","2015-16",47,2015,3314
"Florida","2015-16",48,2015,3675
"Florida","2015-16",49,2015,3688
"Florida","2015-16",50,2015,3634
"Florida","2015-16",51,2015,3768
"Florida","2015-16",52,2015,3671
"Florida","2015-16",1,2016,3804
"Florida","2015-16",2,2016,3836
"Florida","2015-16",3,2016,3904
"Florida","2015-16",4,2016,3910
"Florida","2015-16",5,2016,3985
"Florida","2015-16",6,2016,4075
"Florida","2015-16",7,2016,3932
"Florida","2015-16",8,2016,4023
"Florida","2015-16",9,2016,4055
"Florida","2015-16",10,2016,4140
"Florida","2015-16",11,2016,4024
"Florida","2015-16",12,2016,3972
"Florida","2015-16",13,2016,3876
"Florida","2015-16",14,2016,3923
"Florida","2015-16",15,2016,3789
"Florida","2015-16",16,2016,3796
"Florida","2015-16",17,2016,3710
"Florida","2015-16",18,2016,3726
"Florida","2015-16",19,2016,3767
"Florida","2015-16",20,2016,3670
"Florida","2015-16",21,2016,3649
"Florida","2015-16",22,2016,3661
"Florida","2015-16",23,2016,3528
"Florida","2015-16",24,2016,3705
"Florida","2015-16",25,2016,3559
"Florida","2015-16",26,2016,3593
"Florida","2015-16",27,2016,3633
"Florida","2015-16",28,2016,3777
"Florida","2015-16",29,2016,3663
"Florida","2015-16",30,2016,3610
"Florida","2015-16",31,2016,3651
"Florida","2015-16",32,2016,3678
"Florida","2015-16",33,2016,3592
"Florida","2015-16",34,2016,3583
"Florida","2015-16",35,2016,3665
"Florida","2015-16",36,2016,3623
"Florida","2015-16",37,2016,3575
"Florida","2015-16",38,2016,3622
"Florida","2015-16",39,2016,3646
"Florida","2016-17",40,2016,3627
"Florida","2016-17",41,2016,3691
"Florida","2016-17",42,2016,3818
"Florida","2016-17",43,2016,3610
"Florida","2016-17",44,2016,3726
"Florida","2016-17",45,2016,3812
"Florida","2016-17",46,2016,3814
"Florida","2016-17",47,2016,3891
"Florida","2016-17",48,2016,3917
"Florida","2016-17",49,2016,3831
"Florida","2016-17",50,2016,3810
"Florida","2016-17",51,2016,3781
"Florida","2016-17",52,2016,3865
"Florida","2016-17",1,2017,4062
"Florida","2016-17",2,2017,4222
"Florida","2016-17",3,2017,4137
"Florida","2016-17",4,2017,3909
"Florida","2016-17",5,2017,4230
"Florida","2016-17",6,2017,4008
