AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Florida,All,2016-17,40,4.7,3,166,0,"3,627",98.8%
State,Florida,All,2016-17,41,5.8,0,214,0,"3,691",> 100%
State,Florida,All,2016-17,42,5.1,0,195,0,"3,818",> 100%
State,Florida,All,2016-17,43,5.4,1,195,0,"3,610",98.4%
State,Florida,All,2016-17,44,5.4,1,200,0,"3,726",> 100%
State,Florida,All,2016-17,45,5.4,1,203,0,"3,812",> 100%
State,Florida,All,2016-17,46,5.6,1,213,0,"3,814",> 100%
State,Florida,All,2016-17,47,5.4,3,208,0,"3,891",> 100%
State,Florida,All,2016-17,48,5.4,0,212,0,"3,917",> 100%
State,Florida,All,2016-17,49,6.2,3,233,0,"3,831",> 100%
State,Florida,All,2016-17,50,6.7,2,255,0,"3,810",> 100%
State,Florida,All,2016-17,51,6.3,5,234,0,"3,781",> 100%
State,Florida,All,2016-17,52,6.2,7,233,0,"3,865",> 100%
State,Florida,All,2016-17,1,6.8,10,265,0,"4,062",> 100%
State,Florida,All,2016-17,2,5.4,8,220,0,"4,222",> 100%
State,Florida,All,2016-17,3,7.2,17,281,0,"4,137",> 100%
State,Florida,All,2016-17,4,6.9,8,263,0,"3,909",> 100%
State,Florida,All,2016-17,5,7.4,15,298,0,"4,230",> 100%
State,Florida,All,2016-17,6,6.5,9,251,0,"4,008",> 100%
State,Florida,All,2016-17,7,6.8,20,263,0,"4,169",> 100%
State,Florida,All,2016-17,8,6.8,21,263,0,"4,192",> 100%
State,Florida,All,2016-17,9,6.5,15,242,0,"3,950",> 100%
State,Florida,All,2016-17,10,6,20,226,0,"4,130",> 100%
State,Florida,All,2016-17,11,6.6,13,248,0,"3,931",> 100%
State,Florida,All,2016-17,12,6.3,11,254,0,"4,203",> 100%
State,Florida,All,2016-17,13,6.4,13,240,0,"3,981",> 100%
State,Florida,All,2016-17,14,6.3,8,242,0,"3,996",> 100%
State,Florida,All,2016-17,15,5.9,11,223,0,"3,981",> 100%
State,Florida,All,2016-17,16,5.7,5,216,0,"3,844",> 100%
State,Florida,All,2016-17,17,5.9,7,223,0,"3,867",> 100%
State,Florida,All,2016-17,18,5.2,4,194,0,"3,832",> 100%
State,Florida,All,2016-17,19,4.8,8,173,0,"3,764",> 100%
State,Florida,All,2016-17,20,5.6,2,211,0,"3,814",> 100%
State,Florida,All,2016-17,21,4.6,0,172,0,"3,724",> 100%
State,Florida,All,2016-17,22,5.2,3,193,0,"3,801",> 100%
State,Florida,All,2016-17,23,6,2,224,0,"3,758",> 100%
State,Florida,All,2016-17,24,5.6,1,201,0,"3,607",98.3%
State,Florida,All,2016-17,25,5.6,3,209,0,"3,798",> 100%
State,Florida,All,2016-17,26,5.5,1,204,0,"3,759",> 100%
State,Florida,All,2016-17,27,5,2,184,0,"3,747",> 100%
State,Florida,All,2016-17,28,5.6,1,203,0,"3,666",99.9%
State,Florida,All,2016-17,29,5.1,1,187,0,"3,685",> 100%
State,Florida,All,2016-17,30,5.5,0,202,0,"3,655",99.6%
State,Florida,All,2016-17,31,5.5,0,203,0,"3,722",> 100%
State,Florida,All,2016-17,32,5.3,2,202,0,"3,854",> 100%
State,Florida,All,2016-17,33,4.8,3,181,0,"3,835",> 100%
State,Florida,All,2016-17,34,5.7,1,205,0,"3,633",99%
State,Florida,All,2016-17,35,5.5,1,201,0,"3,647",99.4%
State,Florida,All,2016-17,36,5.1,3,192,0,"3,822",> 100%
State,Florida,All,2016-17,37,5.6,0,223,0,"3,961",> 100%
State,Florida,All,2016-17,38,5.7,1,226,0,"3,971",> 100%
State,Florida,All,2016-17,39,5.7,5,216,0,"3,858",> 100%
State,Florida,All,2017-18,40,5.1,2,197,0,"3,923",> 100%
State,Florida,All,2017-18,41,4.9,2,186,0,"3,835",> 100%
State,Florida,All,2017-18,42,5.6,2,209,0,"3,792",> 100%
State,Florida,All,2017-18,43,6.3,1,241,0,"3,834",> 100%
State,Florida,All,2017-18,44,6.1,4,238,0,"3,955",> 100%
State,Florida,All,2017-18,45,6.1,4,230,0,"3,858",> 100%
State,Florida,All,2017-18,46,5.9,5,226,0,"3,911",> 100%
State,Florida,All,2017-18,47,5.9,3,225,0,"3,852",> 100%
State,Florida,All,2017-18,48,5.7,6,217,0,"3,945",> 100%
State,Florida,All,2017-18,49,5.7,5,217,0,"3,865",> 100%
State,Florida,All,2017-18,50,6.3,13,248,0,"4,130",> 100%
State,Florida,All,2017-18,51,6.1,14,244,0,"4,244",> 100%
State,Florida,All,2017-18,52,6.2,16,241,0,"4,137",> 100%
State,Florida,All,2017-18,1,6.9,31,271,0,"4,389",> 100%
State,Florida,All,2017-18,2,7.7,41,312,0,"4,562",> 100%
State,Florida,All,2017-18,3,8.1,53,321,0,"4,605",> 100%
State,Florida,All,2017-18,4,8.4,60,320,0,"4,521",> 100%
State,Florida,All,2017-18,5,8.3,73,305,0,"4,554",> 100%
State,Florida,All,2017-18,6,8.4,72,307,0,"4,531",> 100%
State,Florida,All,2017-18,7,8.5,67,299,0,"4,330",> 100%
State,Florida,All,2017-18,8,7.2,33,261,0,"4,089",> 100%
State,Florida,All,2017-18,9,6,22,222,0,"4,070",> 100%
State,Florida,All,2017-18,10,6.1,10,235,0,"4,000",> 100%
State,Florida,All,2017-18,11,6.3,19,246,0,"4,179",> 100%
State,Florida,All,2017-18,12,6.1,17,231,0,"4,045",> 100%
State,Florida,All,2017-18,13,7,13,269,0,"4,020",> 100%
State,Florida,All,2017-18,14,5.9,7,232,0,"4,034",> 100%
State,Florida,All,2017-18,15,6.2,14,226,0,"3,896",> 100%
State,Florida,All,2017-18,16,5.6,8,211,0,"3,927",> 100%
State,Florida,All,2017-18,17,5.2,4,197,0,"3,833",> 100%
State,Florida,All,2017-18,18,4.7,3,180,0,"3,880",> 100%
State,Florida,All,2017-18,19,5.3,3,197,0,"3,801",> 100%
State,Florida,All,2017-18,20,5.4,1,202,0,"3,737",> 100%
State,Florida,All,2017-18,21,4.9,0,179,0,"3,664",99.8%
State,Florida,All,2017-18,22,5.2,5,196,0,"3,862",> 100%
State,Florida,All,2017-18,23,5.4,0,208,0,"3,886",> 100%
State,Florida,All,2017-18,24,4.4,3,165,0,"3,792",> 100%
State,Florida,All,2017-18,25,5.5,0,206,0,"3,774",> 100%
State,Florida,All,2017-18,26,5.1,1,188,0,"3,714",> 100%
State,Florida,All,2017-18,27,4.7,1,187,0,"4,016",> 100%
State,Florida,All,2017-18,28,5.2,0,192,0,"3,669",100%
State,Florida,All,2017-18,29,4.8,1,177,0,"3,718",> 100%
State,Florida,All,2017-18,30,5,2,180,0,"3,657",99.6%
